,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,9.63324e-12,-2.0,13,10:34:25
1,7.61885e-12,-1.9,13,
2,8.96533e-12,-1.7999999999999998,13,
3,8.95645e-12,-1.6999999999999997,13,
4,7.73964e-12,-1.5999999999999996,13,
5,6.31142e-12,-1.4999999999999996,13,
6,9.47159e-12,-1.3999999999999995,12,
7,7.78405e-12,-1.2999999999999994,12,
8,5.56535e-12,-1.1999999999999993,12,
9,2.95587e-12,-1.0999999999999992,12,
10,7.0868e-12,-0.9999999999999991,12,
11,9.97075e-12,-0.899999999999999,12,
12,2.42421e-11,-0.7999999999999989,13,
13,3.74796e-11,-0.6999999999999988,13,
14,6.56937e-11,-0.5999999999999988,14,
15,1.00421e-10,-0.49999999999999867,15,
16,1.50181e-10,-0.3999999999999986,15,
17,2.145e-10,-0.2999999999999985,16,
18,2.91921e-10,-0.1999999999999984,16,
19,3.84633e-10,-0.09999999999999831,16,
20,4.83627e-10,1.7763568394002505e-15,16,
21,5.87367e-10,0.10000000000000187,17,
22,7.00769e-10,0.20000000000000195,17,
23,8.12694e-10,0.30000000000000204,17,
24,9.29337e-10,0.40000000000000213,17,
25,1.04911e-09,0.5000000000000022,18,
26,1.16189e-09,0.6000000000000023,18,
27,1.28023e-09,0.7000000000000024,18,
28,1.39256e-09,0.8000000000000025,18,
29,1.50647e-09,0.9000000000000026,18,
30,1.61402e-09,1.0000000000000027,18,
31,1.72248e-09,1.1000000000000028,18,
32,1.82889e-09,1.2000000000000028,18,
33,1.9311e-09,1.300000000000003,18,
34,2.03319e-09,1.400000000000003,19,
35,2.13801e-09,1.500000000000003,19,
36,2.23714e-09,1.6000000000000032,19,
37,2.32946e-09,1.7000000000000033,19,
38,2.43269e-09,1.8000000000000034,19,
39,2.52705e-09,1.9000000000000035,19,
40,2.62163e-09,2.0000000000000036,19,
41,2.70917e-09,2.100000000000003,19,
42,2.79785e-09,2.2000000000000037,19,
43,2.88107e-09,2.3000000000000043,19,
44,2.9661e-09,2.400000000000004,19,
45,3.04682e-09,2.5000000000000036,19,
46,3.13368e-09,2.600000000000004,19,
47,3.21167e-09,2.7000000000000046,19,
48,3.29466e-09,2.8000000000000043,19,
49,3.37151e-09,2.900000000000004,19,
50,3.44745e-09,3.0000000000000044,19,
51,3.52135e-09,3.100000000000005,19,
52,3.59275e-09,3.2000000000000046,19,
53,3.66528e-09,3.3000000000000043,19,
54,3.73464e-09,3.400000000000005,19,
55,3.80172e-09,3.5000000000000053,19,
56,3.86765e-09,3.600000000000005,19,
57,3.94132e-09,3.7000000000000046,19,
58,3.99771e-09,3.800000000000005,19,
59,4.06115e-09,3.9000000000000057,19,
60,4.12527e-09,4.000000000000005,19,
61,4.18211e-09,4.100000000000005,19,
62,4.24578e-09,4.2000000000000055,19,
63,4.3033e-09,4.300000000000006,19,
64,4.35378e-09,4.400000000000006,19,
65,4.40971e-09,4.500000000000005,19,
66,4.46883e-09,4.600000000000006,19,
67,4.52113e-09,4.700000000000006,19,
68,4.57479e-09,4.800000000000006,19,
69,4.63095e-09,4.900000000000006,19,
70,4.68438e-09,5.000000000000006,19,
71,4.72485e-09,5.100000000000007,19,
72,4.78624e-09,5.200000000000006,19,
73,4.8349e-09,5.300000000000006,19,
74,4.88492e-09,5.400000000000007,19,
75,4.93222e-09,5.500000000000007,19,
76,4.98042e-09,5.600000000000007,19,
77,5.03363e-09,5.700000000000006,20,
78,5.07956e-09,5.800000000000007,20,
79,5.13003e-09,5.9000000000000075,20,
80,5.17824e-09,6.000000000000007,20,
81,5.21871e-09,6.100000000000007,20,
82,5.261e-09,6.200000000000006,20,
83,5.30511e-09,6.300000000000008,20,
84,4.71303e-09,6.4000000000000075,20,
85,4.7485e-09,6.500000000000007,20,
86,4.78943e-09,6.6000000000000085,20,
87,4.82672e-09,6.700000000000008,20,
88,4.86355e-09,6.800000000000008,20,
89,4.90084e-09,6.9000000000000075,20,
90,4.93358e-09,7.000000000000007,20,
91,4.96996e-09,7.1000000000000085,20,
92,5.00589e-09,7.200000000000008,20,
93,5.03908e-09,7.300000000000008,20,
94,5.07501e-09,7.400000000000009,20,
95,5.10866e-09,7.500000000000009,20,
96,5.14413e-09,7.6000000000000085,20,
97,5.17733e-09,7.700000000000008,20,
98,5.2087e-09,7.800000000000008,20,
99,5.24236e-09,7.900000000000009,20,
100,5.27464e-09,8.000000000000009,20,
101,5.30375e-09,8.100000000000009,20,
102,5.33558e-09,8.20000000000001,20,
103,5.36741e-09,8.30000000000001,20,
104,5.39742e-09,8.40000000000001,20,
105,5.4288e-09,8.500000000000009,20,
106,5.45745e-09,8.600000000000009,20,
107,5.48746e-09,8.70000000000001,20,
108,5.51748e-09,8.80000000000001,20,
109,5.54704e-09,8.90000000000001,20,
110,5.57614e-09,9.00000000000001,20,
111,5.60433e-09,9.10000000000001,20,
112,5.63298e-09,9.20000000000001,20,
113,5.65981e-09,9.30000000000001,20,
114,5.68664e-09,9.40000000000001,20,
115,5.71438e-09,9.50000000000001,20,
116,5.7403e-09,9.60000000000001,20,
117,5.76804e-09,9.70000000000001,20,
118,5.79533e-09,9.800000000000011,20,
119,5.82079e-09,9.900000000000011,20,
120,5.84672e-09,10.00000000000001,20,
