,Tension fotocatodo [V],Escala,X,Y,R,theta,Hora
0,-5.0,16.0,-4.71518e-11,3.69484e-13,4.71234e-11,179.532,13:47:24
1,-4.5,16.0,1.87585e-12,-7.10546e-13,2.18849e-12,-19.248,
2,-4.0,16.0,9.40764e-12,1.5632e-12,9.57817e-12,8.808,
3,-3.5,16.0,1.37277e-11,6.99177e-12,1.54047e-11,26.982,
4,-3.0,16.0,1.59731e-11,-5.96859e-13,1.59731e-11,-2.148,
5,-2.5,16.0,9.3508e-12,-1.70531e-12,9.66344e-12,-10.71,
6,-2.0,16.0,8.24235e-12,4.74645e-12,9.54975e-12,30.006,
7,-1.5,16.0,1.11698e-11,1.33583e-12,1.12551e-11,6.87,
8,-1.0,16.0,5.40015e-12,-4.63277e-12,7.10546e-12,-40.632,
9,-0.5,16.0,-5.12446e-11,-6.45176e-12,5.15572e-11,-172.686,
10,0.0,16.0,-2.37579e-10,1.1653e-12,2.37494e-10,179.718,
11,0.5,16.0,-5.43057e-10,-3.12641e-13,5.43e-10,-179.964,
12,1.0,16.0,-5.46098e-10,-4.77487e-12,5.4607e-10,-179.682,
13,1.5,16.0,-5.46098e-10,-3.48737e-11,5.4607e-10,-178.338,
14,2.0,16.0,-5.46098e-10,-4.24054e-11,5.4607e-10,-178.404,
15,2.5,16.0,-5.46098e-10,-2.39596e-11,5.4607e-10,-179.238,
16,3.0,16.0,-5.46098e-10,7.75918e-12,5.4607e-10,179.784,
17,3.5,16.0,-5.46098e-10,7.36128e-12,5.4607e-10,179.814,
18,4.0,16.0,-5.46098e-10,1.06866e-11,5.4607e-10,179.748,
19,4.5,16.0,-5.46098e-10,1.16814e-11,5.4607e-10,179.742,
20,5.0,16.0,-5.46098e-10,1.07435e-11,5.4607e-10,179.772,
