,Tension fotocatodo [V],Escala,X,Y,R,theta,Hora
0,5.0,19.0,-2.79671e-10,-1.38698e-11,2.79899e-10,-177.234,13:26:02
1,5.0,19.0,-2.89676e-10,-1.13687e-11,2.89676e-10,-177.828,
2,5.0,19.0,-2.90813e-10,-1.13688e-12,2.90585e-10,-179.802,
3,5.0,19.0,-2.78762e-10,-2.04638e-12,2.78535e-10,-179.622,
4,5.0,19.0,-2.90585e-10,-1.31877e-11,2.90813e-10,-177.438,
5,5.0,19.0,-2.93541e-10,-6.82124e-12,2.93314e-10,-178.698,
6,5.0,19.0,-2.83082e-10,-2.27375e-13,2.82627e-10,-179.964,
7,5.0,19.0,-2.78535e-10,-3.41062e-12,2.78307e-10,-179.316,
8,5.0,19.0,-2.91495e-10,-1.02319e-11,2.91495e-10,-178.002,
9,5.0,19.0,-2.82855e-10,4.54751e-13,2.82627e-10,179.898,
10,5.0,19.0,-2.80354e-10,-1.36425e-11,2.80581e-10,-177.246,
11,5.0,19.0,-2.89676e-10,-1.29604e-11,2.89903e-10,-177.462,
12,5.0,19.0,-2.85583e-10,6.82124e-13,2.85356e-10,179.832,
13,5.0,19.0,-2.76716e-10,-7.04861e-12,2.76716e-10,-178.548,
14,5.0,19.0,-2.8672e-10,-1.43246e-11,2.86947e-10,-177.168,
15,5.0,19.0,-2.91267e-10,-1.13687e-11,2.91267e-10,-177.804,
16,5.0,19.0,-2.88539e-10,0.0,2.88312e-10,179.964,
17,5.0,19.0,-2.824e-10,0.0,2.82173e-10,180.0,
18,5.0,19.0,-2.8149e-10,0.0,2.81263e-10,180.0,
19,5.0,19.0,-2.78535e-10,-2.04638e-12,2.78307e-10,-179.586,
20,5.0,19.0,-2.78762e-10,-9.54975e-12,2.78762e-10,-178.08,
