,Corriente [A],Tension fotocatodo [V],Hora
0,1.57564e-12,-3.0,13:02:51
1,1.43175e-12,-2.8,
2,1.43886e-12,-2.5999999999999996,
3,1.43619e-12,-2.3999999999999995,
4,1.32783e-12,-2.1999999999999993,
5,1.38468e-12,-1.9999999999999991,
6,1.47438e-12,-1.799999999999999,
7,1.33183e-12,-1.5999999999999988,
8,1.28254e-12,-1.3999999999999986,
9,1.24257e-12,-1.1999999999999984,
10,9.02393e-13,-0.9999999999999982,
11,3.63822e-13,-0.799999999999998,
12,3.25341e-12,-0.5999999999999979,
13,1.28609e-11,-0.3999999999999977,
14,3.44917e-11,-0.1999999999999975,
15,7.09943e-11,2.6645352591003757e-15,
16,1.17041e-10,0.20000000000000284,
17,1.63596e-10,0.400000000000003,
18,2.07053e-10,0.6000000000000032,
19,2.47697e-10,0.8000000000000034,
20,2.78677e-10,1.0000000000000036,
21,3.24151e-10,1.2000000000000037,
22,3.61725e-10,1.400000000000004,
23,3.75964e-10,1.600000000000004,
24,3.34156e-10,1.8000000000000043,
25,4.54863e-10,2.0000000000000044,
26,4.82945e-10,2.2000000000000046,
27,3.86025e-10,2.400000000000005,
28,5.32456e-10,2.600000000000005,
29,5.5741e-10,2.800000000000005,
30,5.87367e-10,3.0000000000000053,
31,6.19256e-10,3.2000000000000055,
32,6.28692e-10,3.4000000000000057,
33,6.53589e-10,3.600000000000006,
34,6.82636e-10,3.800000000000006,
35,7.00883e-10,4.000000000000006,
36,7.19357e-10,4.200000000000006,
37,7.23563e-10,4.400000000000007,
38,7.4488e-10,4.600000000000007,
39,7.65684e-10,4.800000000000007,
40,7.73529e-10,5.000000000000007,
41,7.91946e-10,5.200000000000006,
42,8.08715e-10,5.4000000000000075,
43,8.20311e-10,5.6000000000000085,
44,8.51688e-10,5.800000000000008,
45,8.65331e-10,6.000000000000007,
46,8.81247e-10,6.200000000000008,
47,8.96652e-10,6.400000000000009,
48,9.07338e-10,6.6000000000000085,
49,9.18252e-10,6.800000000000008,
50,9.31557e-10,7.000000000000009,
51,9.42869e-10,7.20000000000001,
52,9.56511e-10,7.400000000000009,
53,9.50656e-10,7.6000000000000085,
54,9.62991e-10,7.80000000000001,
55,9.81068e-10,8.00000000000001,
