,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,6.13379e-12,-1.5,13,9:40:40
1,6.46774e-12,-1.49,13,
2,6.92071e-12,-1.48,13,
3,6.39669e-12,-1.47,13,
4,7.69701e-12,-1.46,13,
5,5.87799e-12,-1.45,13,
6,5.65417e-12,-1.44,13,
7,6.82479e-12,-1.43,13,
8,8.27077e-12,-1.42,13,
9,7.83912e-12,-1.41,13,
10,5.90464e-12,-1.4,13,
11,5.44279e-12,-1.39,13,
12,6.9296e-12,-1.38,13,
13,6.16932e-12,-1.3699999999999999,13,
14,6.43577e-12,-1.3599999999999999,13,
15,5.79806e-12,-1.3499999999999999,13,
16,6.92071e-12,-1.3399999999999999,13,
17,6.19951e-12,-1.3299999999999998,13,
18,6.71466e-12,-1.3199999999999998,13,
19,6.82124e-12,-1.3099999999999998,13,
20,6.11247e-12,-1.2999999999999998,13,
21,6.10004e-12,-1.2899999999999998,13,
22,5.00047e-12,-1.2799999999999998,13,
23,6.20129e-12,-1.2699999999999998,13,
24,5.91885e-12,-1.2599999999999998,13,
25,5.15502e-12,-1.2499999999999998,13,
26,6.51215e-12,-1.2399999999999998,12,
27,6.10537e-12,-1.2299999999999998,12,
28,6.78127e-12,-1.2199999999999998,12,
29,5.46321e-12,-1.2099999999999997,12,
30,5.47032e-12,-1.1999999999999997,12,
31,6.10093e-12,-1.1899999999999997,12,
32,6.36738e-12,-1.1799999999999997,12,
33,7.18184e-12,-1.1699999999999997,12,
34,6.43222e-12,-1.1599999999999997,12,
35,6.12757e-12,-1.1499999999999997,12,
36,6.31764e-12,-1.1399999999999997,12,
37,6.86298e-12,-1.1299999999999997,12,
38,3.81831e-12,-1.1199999999999997,12,
39,6.67558e-12,-1.1099999999999997,12,
40,6.05474e-12,-1.0999999999999996,12,
41,3.97374e-12,-1.0899999999999996,12,
42,5.70657e-12,-1.0799999999999996,12,
43,6.36649e-12,-1.0699999999999996,12,
44,5.04133e-12,-1.0599999999999996,12,
45,5.80516e-12,-1.0499999999999996,12,
46,4.74557e-12,-1.0399999999999996,12,
47,4.55105e-12,-1.0299999999999996,12,
48,5.87089e-12,-1.0199999999999996,12,
49,5.5165e-12,-1.0099999999999996,12,
50,5.59555e-12,-0.9999999999999996,12,
51,5.90464e-12,-0.9899999999999995,12,
52,7.5922e-12,-0.9799999999999995,12,
53,6.47485e-12,-0.9699999999999995,12,
54,5.99612e-12,-0.9599999999999995,12,
55,5.30245e-12,-0.9499999999999995,12,
56,6.07162e-12,-0.9399999999999995,12,
57,8.20238e-12,-0.9299999999999995,12,
58,7.41723e-12,-0.9199999999999995,12,
59,6.60808e-12,-0.9099999999999995,12,
60,6.46597e-12,-0.8999999999999995,12,
61,6.49883e-12,-0.8899999999999995,12,
62,7.51671e-12,-0.8799999999999994,12,
63,9.2984e-12,-0.8699999999999994,12,
64,7.58332e-12,-0.8599999999999994,12,
65,6.58498e-12,-0.8499999999999994,12,
66,8.78592e-12,-0.8399999999999994,12,
67,1.07186e-11,-0.8299999999999994,12,
68,1.12373e-11,-0.8199999999999994,12,
69,1.15197e-11,-0.8099999999999994,12,
70,1.05365e-11,-0.7999999999999994,12,
71,1.02638e-11,-0.7899999999999994,12,
72,1.3273e-11,-0.7799999999999994,12,
73,1.37233e-11,-0.7699999999999994,12,
74,1.10899e-11,-0.7599999999999993,12,
75,1.45565e-11,-0.7499999999999993,12,
76,1.5084e-11,-0.7399999999999993,12,
77,1.46178e-11,-0.7299999999999993,12,
78,1.89467e-11,-0.7199999999999993,12,
79,1.66996e-11,-0.7099999999999993,12,
80,1.7809e-11,-0.6999999999999993,12,
81,1.75896e-11,-0.6899999999999993,13,
82,1.90693e-11,-0.6799999999999993,13,
83,2.10979e-11,-0.6699999999999993,13,
84,2.35173e-11,-0.6599999999999993,13,
85,2.65904e-11,-0.6499999999999992,13,
86,2.75887e-11,-0.6399999999999992,13,
87,2.70913e-11,-0.6299999999999992,13,
88,3.2083e-11,-0.6199999999999992,13,
89,2.88126e-11,-0.6099999999999992,13,
90,3.03475e-11,-0.5999999999999992,13,
91,3.54243e-11,-0.5899999999999992,13,
92,3.41844e-11,-0.5799999999999992,13,
93,3.81102e-11,-0.5699999999999992,13,
94,4.07836e-11,-0.5599999999999992,13,
95,3.90712e-11,-0.5499999999999992,13,
96,4.4283e-11,-0.5399999999999991,13,
97,4.74556e-11,-0.5299999999999991,13,
98,4.69529e-11,-0.5199999999999991,13,
99,4.90898e-11,-0.5099999999999991,13,
100,5.23317e-11,-0.4999999999999991,14,
101,5.54794e-11,-0.4899999999999991,14,
102,5.63605e-11,-0.4799999999999991,14,
103,5.62681e-11,-0.4699999999999991,14,
104,6.2077e-11,-0.4599999999999991,14,
105,6.54308e-11,-0.44999999999999907,14,
106,6.55445e-11,-0.43999999999999906,14,
107,7.17582e-11,-0.42999999999999905,14,
108,7.19038e-11,-0.41999999999999904,14,
109,7.45506e-11,-0.40999999999999903,14,
110,8.12226e-11,-0.399999999999999,14,
111,8.25051e-11,-0.389999999999999,14,
112,8.49707e-11,-0.379999999999999,14,
113,8.93157e-11,-0.369999999999999,14,
114,9.26694e-11,-0.359999999999999,14,
115,9.46625e-11,-0.349999999999999,14,
116,1.01828e-10,-0.33999999999999897,15,
117,1.05559e-10,-0.32999999999999896,15,
118,1.12401e-10,-0.31999999999999895,15,
119,1.15528e-10,-0.30999999999999894,15,
120,1.19628e-10,-0.29999999999999893,15,
121,1.22534e-10,-0.2899999999999989,15,
122,1.27714e-10,-0.2799999999999989,15,
123,1.34876e-10,-0.2699999999999989,15,
124,1.37796e-10,-0.2599999999999989,15,
125,1.42031e-10,-0.2499999999999989,15,
126,1.47318e-10,-0.23999999999999888,15,
127,1.54956e-10,-0.22999999999999887,15,
128,1.61131e-10,-0.21999999999999886,15,
129,1.62829e-10,-0.20999999999999885,15,
130,1.66239e-10,-0.19999999999999885,15,
131,1.70652e-10,-0.18999999999999884,15,
132,1.71441e-10,-0.17999999999999883,15,
133,1.81061e-10,-0.16999999999999882,15,
134,1.85993e-10,-0.1599999999999988,15,
135,1.9216e-10,-0.1499999999999988,15,
136,1.995e-10,-0.1399999999999988,15,
137,2.04097e-10,-0.12999999999999878,16,
138,2.10748e-10,-0.11999999999999877,16,
139,2.18422e-10,-0.10999999999999877,16,
140,2.22799e-10,-0.09999999999999876,16,
141,2.31069e-10,-0.08999999999999875,16,
142,2.39199e-10,-0.07999999999999874,16,
143,2.43007e-10,-0.06999999999999873,16,
144,2.50767e-10,-0.05999999999999872,16,
145,2.52983e-10,-0.04999999999999871,16,
146,2.60458e-10,-0.0399999999999987,16,
147,2.70548e-10,-0.029999999999998694,16,
148,2.76318e-10,-0.019999999999998685,16,
149,2.87999e-10,-0.009999999999998677,16,
150,2.93058e-10,1.3322676295501878e-15,16,
